T	Y
1.0	0.00019383946402397323
2.0	0.00022040560346219158
3.0	0.00022169871816667998
4.0	0.00025315289816961115
5.0	0.00025625457417034585
6.0	0.00027089195104717904
7.0	0.00029819760512593725
8.0	0.0003161385477824779
9.0	0.0003126358270958106
10.0	0.0003343752525868642
11.0	0.0003096470929843196
12.0	0.00032837652485287645
13.0	0.0003223211255193679
14.0	0.0003189243749805847
15.0	0.0003308117405772769
16.0	0.00034088600931213645
17.0	0.00033169827709373344
18.0	0.00033952963664298126
19.0	0.0003365933109862936
20.0	0.00033036359755615405
21.0	0.00032471061499093727
22.0	0.0003286822354495178
23.0	0.00030180768728483784
24.0	0.00030441089979931987
25.0	0.00028593731358418986
26.0	0.00028820645711706214
27.0	0.000294610401051389
28.0	0.0002942193696454029
29.0	0.0002961924593323541
30.0	0.0002891479476211222
31.0	0.0002689834821059476
32.0	0.0002705107343368134
33.0	0.00028006548078150784
34.0	0.00028150595258228175
35.0	0.00028249384668832013
36.0	0.0002511742577535076
37.0	0.00025160382526115584
38.0	0.00026623732483608414
39.0	0.0002672764099904048
40.0	0.00024846940914458396
41.0	0.0002474684761769406
42.0	0.00025017511831336783
43.0	0.00025811554942371286
44.0	0.00023122828522434066
45.0	0.00025909924646528443
46.0	0.0002451476199373231
47.0	0.0002449122000108793
48.0	0.00025402986242155715
49.0	0.0002478141155148588
50.0	0.00025870823137839026
51.0	0.00024054137817184663
52.0	0.00024333356706915388
53.0	0.00024197559270767305
54.0	0.0002297110072433852
55.0	0.00020893541550353126
56.0	0.00019059245502348922
57.0	0.00017517408532424956
58.0	0.00018435073648270794
59.0	0.0001718082299309795
60.0	0.000158382027217999
61.0	0.00015734696331893075
62.0	0.00013737490423709926
63.0	0.00010025274470056023
64.0	0.00010505070599532013
65.0	0.00011926261522616881
66.0	0.00010340259810739418
67.0	7.914663499337254e-5
68.0	7.647520432702698e-5
69.0	4.8230911482110075e-5
70.0	5.6541477584224134e-5
71.0	4.6624596453190975e-5
72.0	2.125303345220514e-5
73.0	1.8784411077266833e-5
74.0	9.389811060371914e-6
75.0	-1.7249547194968587e-5
76.0	-4.6730779938952e-5
77.0	-6.500292977622626e-5
78.0	-8.426261283556863e-5
79.0	-0.00012357862421581364
80.0	-0.00017084669957890056
81.0	-0.0001962378590472432
82.0	-0.0002442970219908771
83.0	-0.00030554103369065215
84.0	-0.0003278817403934691
85.0	-0.00039511198200798715
86.0	-0.0004628137744871544
87.0	-0.0005038125051556579
88.0	-0.0005615642968311539
89.0	-0.0006028660203890417
90.0	-0.0006461613046946507
91.0	-0.0007055624889874719
92.0	-0.0007867688836348183
93.0	-0.0008548385597928459
94.0	-0.0009284261531570465
95.0	-0.0010175476849020003
96.0	-0.0011648073744018475
97.0	-0.0012976249155013274
98.0	-0.0014473639149422983
99.0	-0.0019287730639720203
100.0	-0.002377956281530591
